name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play area,mixed,junior,no,no,yes,yes,no,no,unknown,no,no,no,no,no,no,unknown,2022-Apr-27 2:14:19 PM,,Janeville Park,"355 Iberville Street, Vanier"
play area,play area,toddler,no,no,no,no,no,no,no,no,unknown,yes,yes,no,no,unknown,2022-Apr-27 9:27:44 AM,,Irwin Gate Park,"345 Pickford Drive, Kanata"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Joe Jamieson Park,"6940 Bilberry Drive, Gloucester"
play area,mixed,toddler,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Apr-27 3:26:30 PM,,Jasmine Park,"2040 Jasmine Crescent, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Walter Upton-Collins Park,"894 River Road, Gloucester"
play structure,swing,junior,unknown,no,no,yes,unknown,no,no,no,no,unknown,no,no,no,unknown,2021-Nov-30 1:22:51 PM,,Coronation Park,"442 Coronation Avenue, Ottawa"
play area,play area,junior,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:49 PM,,Parkway Park,"2095 Kingsley Road, Ottawa"
play structure,play structure,junior,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2021-Nov-30 8:31:50 AM,,Cobble Hill Park,"200 Cobble Hill Drive, Nepean"
play structure,swing,junior,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2021-Nov-30 8:39:00 AM,,Cobe Parkette,"1490 Cobe Terrace, Rideau"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:49 PM,,Westcliffe Park,"681 Seyton Drive, Nepean"
play area,play area,toddler,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:49 PM,,Windsor Park Ottawa,"1B Windsor Avenue, Ottawa"
play area,play area,junior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Raven Park,"1500 Larose Avenue, Ottawa"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Walkley Albion Park,2930 Albion Road North
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Trevor Vance Park,"129 Goodman Drive, Kanata"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Trappers Park,"3580 Trapper's Road, Gloucester"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:52 PM,,Weslock Park,"73 Weslock Way, Kanata"
play structure,play structure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:52 PM,2017-Apr-28 1:56:23 PM,South Village Park,"6799 South Village Drive, Osgoode"
play structure,play structure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:52 PM,2017-Apr-28 1:56:25 PM,South Village Park,"6799 South Village Drive, Osgoode"
play area,play area,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:52 PM,2017-Apr-28 1:56:28 PM,South Village Park,"6799 South Village Drive, Osgoode"
play area,play area,junior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Sunray Park,"22 Sunray Crescent, Goulbourn"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Owl Park,"215 Owl Drive, Ottawa"
play area,play area,junior,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Paget Park,"801 Springland Drive, Ottawa"
play area,play area,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Roundhay Park / Starwood Park,"31 Roundhay Drive, Nepean"
play area,play area,junior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2018-Jan-18 2:55:46 PM,,Petrie Island Park,"727 Tweddle Road, Cumberland"
play area,play area,toddler,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Pineglen Park,"22 Brisbane Road, Nepean"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Steve MacLean Park,"1190 Deer Park Road, Nepean"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Hawthorne Park,"2139 Tawney Road, Ottawa"
play area,play area,toddler,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Rancourt Park,"858 Scala Avenue, Cumberland"
play area,play area,toddler,no,no,no,unknown,no,no,no,no,no,yes,yes,no,no,unknown,2022-Feb-23 2:37:26 PM,,Emerald Woods Park,3795 Alderwood Street
play area,mixed,junior,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,unknown,2022-Feb-23 2:38:53 PM,,Aladdin Park,3939 Albion Road
play area,mixed,toddler,yes,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2022-Feb-23 9:09:49 AM,4/14/2015 1:30:11 PM,Cardinal Creek Community Park,"1825 Trim Road, Cumberland"
play area,play area,junior,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Westcliffe Park,"681 Seyton Drive, Nepean"
play area,play area,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:46 PM,,Rosehill Park,"528 Rosehill Avenue, Goulbourn"
play structure,play structure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:46 PM,,Walden Park,"130 Walden Drive, Kanata"
play area,play area,toddler,no,no,no,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,Stirling-Carruthers Park,"195 Carruthers Avenue, Ottawa"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:46 PM,,W.C. Bowes Park,"1251 Halton Terrace, Kanata"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:15 PM,,Stanley Park,"1575 Lakeshore Drive, Osgoode"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:15 PM,,Sugar Creek Park,"13 Basford Crescent, Goulbourn"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-28 11:21:31 AM,,Glenmanor Park,"33 Glenmanor Drive, Nepean"
play area,play area,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:15 PM,,St. Ambroise Park,"120 Landry Street, Vanier"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2022-Mar-28 11:56:25 AM,,Finchley Park,"7 Finchley Drive, Nepean"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,R. George Pushman Park,"1270 Pebble Road, Ottawa"
play area,play area,toddler,no,no,no,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,Winterwood Park,"1844 Johnston Road, Ottawa"
